TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
814100000000.0	1638387169.9	412613383.8	6505636083.5
814200000000.0	1638387621.2	412595338.9	6505924192.8
814300000000.0	1638388072.5	412577298.2	6506212261.3
814400000000.0	1638388523.6	412559261.5	6506500289.1
814500000000.0	1638388974.6	412541229.0	6506788276.1
814600000000.0	1638389425.5	412523200.6	6507076222.3
814700000000.0	1638389876.3	412505176.3	6507364127.8
814800000000.0	1638390327.0	412487156.1	6507651992.6
814900000000.0	1638390777.6	412469140.1	6507939816.6
815000000000.0	1638391228.0	412451128.2	6508227599.9
815100000000.0	1638391678.4	412433120.4	6508515342.4
815200000000.0	1638392128.6	412415116.7	6508803044.3
815300000000.0	1638392578.8	412397117.1	6509090705.5
815400000000.0	1638393028.8	412379121.7	6509378326.0
815500000000.0	1638393478.7	412361130.3	6509665905.8
815600000000.0	1638393928.5	412343143.1	6509953444.9
815700000000.0	1638394378.2	412325160.0	6510240943.3
815800000000.0	1638394827.8	412307181.0	6510528401.1
815900000000.0	1638395277.3	412289206.1	6510815818.3
816000000000.0	1638395726.6	412271235.3	6511103194.8
816100000000.0	1638396175.9	412253268.6	6511390530.7
816200000000.0	1638396625.0	412235306.0	6511677825.9
816300000000.0	1638397074.1	412217347.5	6511965080.6
816400000000.0	1638397523.0	412199393.1	6512252294.6
816500000000.0	1638397971.8	412181442.8	6512539468.0
816600000000.0	1638398420.5	412163496.6	6512826600.8
816700000000.0	1638398869.1	412145554.5	6513113693.1
816800000000.0	1638399317.6	412127616.5	6513400744.8
816900000000.0	1638399766.0	412109682.5	6513687755.9
817000000000.0	1638400214.2	412091752.7	6513974726.4
817100000000.0	1638400662.4	412073827.0	6514261656.4
817200000000.0	1638401110.5	412055905.3	6514548545.9
817300000000.0	1638401558.4	412037987.7	6514835394.8
817400000000.0	1638402006.2	412020074.3	6515122203.2
817500000000.0	1638402453.9	412002164.9	6515408971.1
817600000000.0	1638402901.6	411984259.6	6515695698.4
817700000000.0	1638403349.1	411966358.3	6515982385.3
817800000000.0	1638403796.5	411948461.2	6516269031.7
817900000000.0	1638404243.7	411930568.1	6516555637.5
818000000000.0	1638404690.9	411912679.1	6516842203.0
818100000000.0	1638405138.0	411894794.2	6517128727.9
818200000000.0	1638405584.9	411876913.4	6517415212.4
818300000000.0	1638406031.8	411859036.6	6517701656.4
818400000000.0	1638406478.5	411841163.9	6517988060.0
818500000000.0	1638406925.2	411823295.3	6518274423.1
818600000000.0	1638407371.7	411805430.7	6518560745.9
818700000000.0	1638407818.1	411787570.2	6518847028.1
818800000000.0	1638408264.4	411769713.8	6519133270.0
818900000000.0	1638408710.6	411751861.4	6519419471.5
819000000000.0	1638409156.7	411734013.1	6519705632.6
819100000000.0	1638409602.6	411716168.9	6519991753.3
819200000000.0	1638410048.5	411698328.7	6520277833.6
819300000000.0	1638410494.3	411680492.6	6520563873.6
819400000000.0	1638410939.9	411662660.6	6520849873.2
819500000000.0	1638411385.5	411644832.6	6521135832.4
819600000000.0	1638411830.9	411627008.7	6521421751.3
819700000000.0	1638412276.2	411609188.8	6521707629.8
819800000000.0	1638412721.4	411591372.9	6521993468.1
819900000000.0	1638413166.6	411573561.2	6522279266.0
820000000000.0	1638413611.6	411555753.4	6522565023.6
820100000000.0	1638414056.5	411537949.7	6522850740.8
820200000000.0	1638414501.2	411520150.1	6523136417.8
820300000000.0	1638414945.9	411502354.5	6523422054.5
820400000000.0	1638415390.5	411484563.0	6523707650.9
820500000000.0	1638415834.9	411466775.5	6523993207.1
820600000000.0	1638416279.3	411448992.0	6524278722.9
820700000000.0	1638416723.5	411431212.6	6524564198.5
820800000000.0	1638417167.7	411413437.2	6524849633.9
820900000000.0	1638417611.7	411395665.9	6525135029.0
821000000000.0	1638418055.6	411377898.6	6525420383.9
821100000000.0	1638418499.4	411360135.3	6525705698.6
821200000000.0	1638418943.1	411342376.1	6525990973.1
821300000000.0	1638419386.7	411324620.9	6526276207.3
821400000000.0	1638419830.2	411306869.7	6526561401.4
821500000000.0	1638420273.6	411289122.6	6526846555.2
821600000000.0	1638420716.9	411271379.5	6527131668.9
821700000000.0	1638421160.0	411253640.4	6527416742.4
821800000000.0	1638421603.1	411235905.3	6527701775.7
821900000000.0	1638422046.1	411218174.3	6527986768.9
822000000000.0	1638422488.9	411200447.3	6528271721.9
822100000000.0	1638422931.6	411182724.3	6528556634.8
822200000000.0	1638423374.3	411165005.3	6528841507.5
822300000000.0	1638423816.8	411147290.4	6529126340.1
822400000000.0	1638424259.2	411129579.5	6529411132.6
822500000000.0	1638424701.5	411111872.6	6529695885.0
822600000000.0	1638425143.7	411094169.7	6529980597.3
822700000000.0	1638425585.8	411076470.8	6530265269.5
822800000000.0	1638426027.8	411058775.9	6530549901.6
822900000000.0	1638426469.6	411041085.0	6530834493.6
823000000000.0	1638426911.4	411023398.2	6531119045.6
823100000000.0	1638427353.1	411005715.3	6531403557.5
823200000000.0	1638427794.6	410988036.5	6531688029.3
823300000000.0	1638428236.1	410970361.7	6531972461.1
823400000000.0	1638428677.4	410952690.9	6532256852.9
823500000000.0	1638429118.7	410935024.0	6532541204.6
823600000000.0	1638429559.8	410917361.2	6532825516.3
823700000000.0	1638430000.8	410899702.4	6533109788.0
823800000000.0	1638430441.7	410882047.6	6533394019.7
823900000000.0	1638430882.5	410864396.7	6533678211.3
824000000000.0	1638431323.2	410846749.9	6533962363.0
824100000000.0	1638431763.8	410829107.1	6534246474.8
824200000000.0	1638432204.3	410811468.3	6534530546.5
824300000000.0	1638432644.7	410793833.4	6534814578.3
824400000000.0	1638433085.0	410776202.6	6535098570.1
824500000000.0	1638433525.1	410758575.7	6535382522.0
824600000000.0	1638433965.2	410740952.8	6535666433.9
824700000000.0	1638434405.2	410723333.9	6535950305.9
824800000000.0	1638434845.0	410705719.0	6536234138.0
824900000000.0	1638435284.7	410688108.1	6536517930.1
825000000000.0	1638435724.4	410670501.2	6536801682.4
825100000000.0	1638436163.9	410652898.2	6537085394.7
825200000000.0	1638436603.3	410635299.2	6537369067.2
825300000000.0	1638437042.6	410617704.2	6537652699.7
825400000000.0	1638437481.9	410600113.2	6537936292.4
825500000000.0	1638437921.0	410582526.2	6538219845.3
825600000000.0	1638438360.0	410564943.1	6538503358.2
825700000000.0	1638438798.8	410547364.0	6538786831.3
825800000000.0	1638439237.6	410529788.9	6539070264.6
825900000000.0	1638439676.3	410512217.8	6539353658.0
826000000000.0	1638440114.9	410494650.6	6539637011.6
826100000000.0	1638440553.4	410477087.4	6539920325.4
826200000000.0	1638440991.7	410459528.1	6540203599.4
826300000000.0	1638441430.0	410441972.9	6540486833.5
826400000000.0	1638441868.1	410424421.6	6540770027.9
826500000000.0	1638442306.2	410406874.2	6541053182.5
826600000000.0	1638442744.1	410389330.8	6541336297.3
826700000000.0	1638443181.9	410371791.4	6541619372.3
826800000000.0	1638443619.7	410354255.9	6541902407.6
826900000000.0	1638444057.3	410336724.4	6542185403.1
827000000000.0	1638444494.8	410319196.9	6542468358.8
827100000000.0	1638444932.2	410301673.3	6542751274.8
827200000000.0	1638445369.5	410284153.6	6543034151.1
827300000000.0	1638445806.7	410266637.9	6543316987.7
827400000000.0	1638446243.8	410249126.2	6543599784.5
827500000000.0	1638446680.8	410231618.4	6543882541.7
827600000000.0	1638447117.7	410214114.6	6544165259.1
827700000000.0	1638447554.5	410196614.7	6544447936.9
827800000000.0	1638447991.1	410179118.7	6544730574.9
827900000000.0	1638448427.7	410161626.7	6545013173.3
828000000000.0	1638448864.2	410144138.7	6545295732.0
828100000000.0	1638449300.5	410126654.6	6545578251.1
828200000000.0	1638449736.8	410109174.4	6545860730.5
828300000000.0	1638450172.9	410091698.2	6546143170.2
828400000000.0	1638450609.0	410074225.9	6546425570.3
828500000000.0	1638451044.9	410056757.5	6546707930.8
828600000000.0	1638451480.7	410039293.1	6546990251.7
828700000000.0	1638451916.5	410021832.6	6547272533.0
828800000000.0	1638452352.1	410004376.1	6547554774.6
828900000000.0	1638452787.6	409986923.4	6547836976.7
829000000000.0	1638453223.0	409969474.7	6548119139.2
829100000000.0	1638453658.3	409952030.0	6548401262.0
829200000000.0	1638454093.5	409934589.1	6548683345.4
829300000000.0	1638454528.6	409917152.2	6548965389.1
829400000000.0	1638454963.6	409899719.2	6549247393.3
829500000000.0	1638455398.5	409882290.2	6549529358.0
829600000000.0	1638455833.3	409864865.0	6549811283.1
829700000000.0	1638456268.0	409847443.8	6550093168.6
829800000000.0	1638456702.5	409830026.5	6550375014.7
829900000000.0	1638457137.0	409812613.2	6550656821.2
830000000000.0	1638457571.4	409795203.7	6550938588.2
830100000000.0	1638458005.6	409777798.2	6551220315.8
830200000000.0	1638458439.8	409760396.5	6551502003.8
830300000000.0	1638458873.8	409742998.8	6551783652.3
830400000000.0	1638459307.8	409725605.0	6552065261.4
830500000000.0	1638459741.6	409708215.1	6552346831.0
830600000000.0	1638460175.4	409690829.1	6552628361.1
830700000000.0	1638460609.0	409673447.1	6552909851.8
830800000000.0	1638461042.5	409656068.9	6553191303.0
830900000000.0	1638461476.0	409638694.6	6553472714.8
831000000000.0	1638461909.3	409621324.3	6553754087.2
831100000000.0	1638462342.5	409603957.8	6554035420.2
831200000000.0	1638462775.6	409586595.3	6554316713.7
831300000000.0	1638463208.6	409569236.6	6554597967.8
831400000000.0	1638463641.5	409551881.9	6554879182.6
831500000000.0	1638464074.3	409534531.0	6555160357.9
831600000000.0	1638464507.0	409517184.1	6555441493.9
831700000000.0	1638464939.6	409499841.0	6555722590.4
831800000000.0	1638465372.1	409482501.8	6556003647.7
831900000000.0	1638465804.5	409465166.6	6556284665.5
832000000000.0	1638466236.8	409447835.2	6556565644.0
832100000000.0	1638466669.0	409430507.7	6556846583.2
832200000000.0	1638467101.1	409413184.1	6557127483.0
832300000000.0	1638467533.0	409395864.4	6557408343.5
832400000000.0	1638467964.9	409378548.5	6557689164.7
832500000000.0	1638468396.7	409361236.6	6557969946.6
832600000000.0	1638468828.3	409343928.5	6558250689.2
832700000000.0	1638469259.9	409326624.4	6558531392.4
832800000000.0	1638469691.4	409309324.1	6558812056.4
832900000000.0	1638470122.7	409292027.7	6559092681.1
833000000000.0	1638470554.0	409274735.1	6559373266.6
833100000000.0	1638470985.1	409257446.5	6559653812.8
833200000000.0	1638471416.1	409240161.7	6559934319.7
833300000000.0	1638471847.1	409222880.8	6560214787.3
833400000000.0	1638472277.9	409205603.7	6560495215.8
833500000000.0	1638472708.7	409188330.6	6560775605.0
833600000000.0	1638473139.3	409171061.3	6561055955.0
833700000000.0	1638473569.8	409153795.9	6561336265.7
833800000000.0	1638474000.2	409136534.3	6561616537.3
833900000000.0	1638474430.6	409119276.6	6561896769.6
834000000000.0	1638474860.8	409102022.8	6562176962.8
834100000000.0	1638475290.9	409084772.8	6562457116.7
834200000000.0	1638475720.9	409067526.7	6562737231.5
834300000000.0	1638476150.8	409050284.5	6563017307.2
834400000000.0	1638476580.6	409033046.1	6563297343.6
834500000000.0	1638477010.3	409015811.6	6563577340.9
834600000000.0	1638477439.9	408998581.0	6563857299.1
834700000000.0	1638477869.4	408981354.2	6564137218.1
834800000000.0	1638478298.8	408964131.3	6564417098.0
834900000000.0	1638478728.1	408946912.2	6564696938.8
835000000000.0	1638479157.3	408929696.9	6564976740.5
835100000000.0	1638479586.4	408912485.6	6565256503.0
835200000000.0	1638480015.4	408895278.0	6565536226.5
835300000000.0	1638480444.3	408878074.4	6565815910.9
835400000000.0	1638480873.0	408860874.5	6566095556.1
835500000000.0	1638481301.7	408843678.5	6566375162.4
835600000000.0	1638481730.3	408826486.4	6566654729.5
835700000000.0	1638482158.8	408809298.1	6566934257.6
835800000000.0	1638482587.1	408792113.7	6567213746.6
835900000000.0	1638483015.4	408774933.1	6567493196.6
836000000000.0	1638483443.6	408757756.3	6567772607.5
836100000000.0	1638483871.6	408740583.4	6568051979.5
836200000000.0	1638484299.6	408723414.3	6568331312.4
836300000000.0	1638484727.5	408706249.0	6568610606.3
836400000000.0	1638485155.2	408689087.6	6568889861.2
836500000000.0	1638485582.9	408671930.0	6569169077.1
836600000000.0	1638486010.4	408654776.3	6569448254.0
