TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
543200000000.0	1616305292.6	1554570196.3	1680492013.2
543300000000.0	1616306264.5	1554571046.3	1680493115.3
543400000000.0	1616307236.0	1554571896.1	1680494217.0
543500000000.0	1616308207.2	1554572745.5	1680495318.3
543600000000.0	1616309178.0	1554573594.6	1680496419.2
543700000000.0	1616310148.5	1554574443.3	1680497519.7
543800000000.0	1616311118.6	1554575291.8	1680498619.8
543900000000.0	1616312088.4	1554576140.0	1680499719.5
544000000000.0	1616313057.8	1554576987.8	1680500818.8
544100000000.0	1616314026.9	1554577835.4	1680501917.7
544200000000.0	1616314995.6	1554578682.6	1680503016.1
544300000000.0	1616315963.9	1554579529.5	1680504114.2
544400000000.0	1616316931.9	1554580376.1	1680505211.9
544500000000.0	1616317899.5	1554581222.4	1680506309.2
544600000000.0	1616318866.8	1554582068.4	1680507406.1
544700000000.0	1616319833.8	1554582914.1	1680508502.5
544800000000.0	1616320800.3	1554583759.4	1680509598.6
544900000000.0	1616321766.5	1554584604.5	1680510694.3
545000000000.0	1616322732.4	1554585449.2	1680511789.6
545100000000.0	1616323697.9	1554586293.7	1680512884.4
545200000000.0	1616324663.1	1554587137.8	1680513978.9
545300000000.0	1616325627.9	1554587981.6	1680515073.0
545400000000.0	1616326592.4	1554588825.1	1680516166.6
545500000000.0	1616327556.5	1554589668.4	1680517259.9
545600000000.0	1616328520.2	1554590511.2	1680518352.8
545700000000.0	1616329483.6	1554591353.8	1680519445.3
545800000000.0	1616330446.7	1554592196.1	1680520537.3
545900000000.0	1616331409.3	1554593038.1	1680521629.0
546000000000.0	1616332371.7	1554593879.8	1680522720.3
546100000000.0	1616333333.7	1554594721.1	1680523811.2
546200000000.0	1616334295.3	1554595562.2	1680524901.7
546300000000.0	1616335256.6	1554596402.9	1680525991.7
546400000000.0	1616336217.6	1554597243.4	1680527081.4
546500000000.0	1616337178.1	1554598083.5	1680528170.7
546600000000.0	1616338138.4	1554598923.3	1680529259.6
546700000000.0	1616339098.3	1554599762.8	1680530348.1
546800000000.0	1616340057.8	1554600602.0	1680531436.2
546900000000.0	1616341017.0	1554601440.9	1680532523.9
547000000000.0	1616341975.8	1554602279.5	1680533611.2
547100000000.0	1616342934.3	1554603117.8	1680534698.1
547200000000.0	1616343892.5	1554603955.8	1680535784.6
547300000000.0	1616344850.3	1554604793.5	1680536870.8
547400000000.0	1616345807.7	1554605630.9	1680537956.5
547500000000.0	1616346764.8	1554606468.0	1680539041.8
547600000000.0	1616347721.5	1554607304.7	1680540126.7
547700000000.0	1616348677.9	1554608141.2	1680541211.3
547800000000.0	1616349634.0	1554608977.4	1680542295.4
547900000000.0	1616350589.7	1554609813.2	1680543379.2
548000000000.0	1616351545.0	1554610648.8	1680544462.5
548100000000.0	1616352500.1	1554611484.0	1680545545.5
548200000000.0	1616353454.7	1554612319.0	1680546628.1
548300000000.0	1616354409.0	1554613153.6	1680547710.2
548400000000.0	1616355363.0	1554613987.9	1680548792.0
548500000000.0	1616356316.6	1554614822.0	1680549873.4
548600000000.0	1616357269.9	1554615655.7	1680550954.4
548700000000.0	1616358222.8	1554616489.1	1680552035.0
548800000000.0	1616359175.4	1554617322.3	1680553115.2
548900000000.0	1616360127.6	1554618155.1	1680554195.0
549000000000.0	1616361079.5	1554618987.6	1680555274.4
549100000000.0	1616362031.1	1554619819.8	1680556353.5
549200000000.0	1616362982.2	1554620651.7	1680557432.1
549300000000.0	1616363933.1	1554621483.3	1680558510.4
549400000000.0	1616364883.6	1554622314.7	1680559588.2
549500000000.0	1616365833.8	1554623145.7	1680560665.7
549600000000.0	1616366783.6	1554623976.4	1680561742.8
549700000000.0	1616367733.1	1554624806.8	1680562819.5
549800000000.0	1616368682.2	1554625636.9	1680563895.8
549900000000.0	1616369631.0	1554626466.7	1680564971.7
550000000000.0	1616370579.4	1554627296.2	1680566047.2
550100000000.0	1616371527.5	1554628125.4	1680567122.3
550200000000.0	1616372475.3	1554628954.3	1680568197.0
550300000000.0	1616373422.7	1554629782.9	1680569271.4
550400000000.0	1616374369.7	1554630611.2	1680570345.4
550500000000.0	1616375316.5	1554631439.2	1680571418.9
550600000000.0	1616376262.8	1554632266.9	1680572492.1
550700000000.0	1616377208.9	1554633094.3	1680573564.9
550800000000.0	1616378154.6	1554633921.4	1680574637.3
550900000000.0	1616379099.9	1554634748.2	1680575709.3
551000000000.0	1616380044.9	1554635574.7	1680576781.0
